epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,9998.92,0.90362,1.51128,0.9455,0.99418,0,0.70717,0.5368,0.58615,0.46023,0.69478,0.5075,0.5483,0.39567,0.81262,1.45653,1.04447,0.96987,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10249.1,0.88631,1.48958,0.93383,0.98957,0,0.71229,0.56106,0.59806,0.46739,0.67878,0.5248,0.5515,0.40138,0.81866,1.44409,1.03566,0.97337,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,10499.9,0.88737,1.49115,0.91799,0.98759,0,0.69758,0.56751,0.60638,0.47798,0.66737,0.53251,0.56284,0.40859,0.80394,1.43456,1.01237,0.96449,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,10750,0.88708,1.48547,0.90966,0.98489,0,0.72054,0.55638,0.60454,0.47817,0.69909,0.52467,0.56299,0.40911,0.79407,1.42641,1.01256,0.96014,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,10998.2,0.87369,1.46842,0.89983,0.98033,0,0.7424,0.56525,0.60905,0.47977,0.72597,0.53696,0.56753,0.41044,0.79199,1.43393,1.00709,0.96063,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,11247.1,0.86951,1.45677,0.88562,0.97795,0,0.72163,0.56729,0.60816,0.47942,0.69107,0.53947,0.56793,0.40759,0.78565,1.42019,1.00463,0.95694,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,11494.9,0.8667,1.45998,0.8769,0.97635,0,0.70467,0.57163,0.6111,0.48596,0.69352,0.52876,0.56681,0.40993,0.77803,1.40657,0.98341,0.95237,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,11744.1,0.86794,1.44676,0.86856,0.97509,0,0.71561,0.58072,0.61431,0.48873,0.6913,0.54713,0.57174,0.41566,0.77567,1.39431,0.97328,0.9503,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11992.9,0.86305,1.43436,0.85732,0.97167,0,0.73098,0.57609,0.61956,0.4939,0.7105,0.54051,0.57899,0.41858,0.77758,1.38772,0.97008,0.95121,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,12241.7,0.86082,1.4333,0.85644,0.97168,0,0.73312,0.56684,0.62095,0.49542,0.70824,0.53896,0.57885,0.42007,0.77203,1.38465,0.97052,0.94884,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,12491.2,0.85058,1.41489,0.8425,0.96669,0,0.72927,0.57601,0.62088,0.49559,0.71345,0.5452,0.5826,0.42177,0.76841,1.38155,0.97593,0.94616,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,12741.1,0.84541,1.40686,0.83237,0.96504,0,0.70183,0.60644,0.62488,0.49874,0.70704,0.55774,0.58958,0.42775,0.76518,1.37546,0.97213,0.94308,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12991.2,0.84756,1.40852,0.82969,0.96312,0,0.67945,0.61316,0.62653,0.50094,0.65594,0.58543,0.59226,0.42889,0.76078,1.36654,0.97136,0.94192,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,13242.4,0.84204,1.3892,0.81795,0.95974,0,0.69601,0.60048,0.62669,0.50062,0.71883,0.5425,0.58461,0.42429,0.75992,1.35982,0.97091,0.94192,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,13491.8,0.83954,1.39726,0.81393,0.95986,0,0.74634,0.57693,0.6334,0.50478,0.72644,0.55259,0.59372,0.42879,0.75713,1.34985,0.96434,0.94068,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,13743.6,0.83845,1.38789,0.81156,0.95949,0,0.73086,0.59336,0.63533,0.50571,0.70815,0.56122,0.59312,0.4336,0.75694,1.3417,0.96696,0.94158,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,14053,0.82915,1.37591,0.79469,0.95549,0,0.72722,0.598,0.63617,0.50853,0.69933,0.56627,0.59458,0.43345,0.754,1.33678,0.9626,0.94012,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,14302.8,0.82823,1.36349,0.78843,0.95368,0,0.73536,0.58423,0.63751,0.50984,0.72982,0.54491,0.59545,0.43422,0.75046,1.33335,0.96128,0.93815,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,14553.5,0.82863,1.37297,0.78868,0.95315,0,0.75434,0.57645,0.63802,0.50899,0.72197,0.54764,0.59658,0.43513,0.74889,1.32861,0.95782,0.93793,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,14803.6,0.81789,1.34628,0.77637,0.94841,0,0.74948,0.58841,0.64032,0.51048,0.72072,0.55831,0.59921,0.43597,0.74645,1.32769,0.95605,0.93699,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,15061.8,0.82071,1.35113,0.77665,0.94895,0,0.75531,0.58349,0.64223,0.51274,0.72194,0.55684,0.59913,0.4381,0.74199,1.32433,0.95339,0.93527,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,15310.2,0.81095,1.33379,0.7641,0.94784,0,0.72857,0.6021,0.6432,0.51334,0.71097,0.56498,0.60082,0.43887,0.73892,1.32122,0.9539,0.93397,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,15559.8,0.81356,1.34073,0.76406,0.94744,0,0.73326,0.60859,0.64565,0.51555,0.70409,0.57301,0.60195,0.44083,0.73699,1.32015,0.95345,0.93265,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,15811.4,0.80317,1.32322,0.75229,0.94305,0,0.74761,0.60259,0.6458,0.51649,0.71863,0.5703,0.6017,0.44127,0.73379,1.31847,0.95011,0.93138,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,16197.3,0.80862,1.32027,0.75268,0.94505,0,0.74924,0.60074,0.64713,0.51738,0.71855,0.57055,0.60324,0.44357,0.73131,1.3138,0.95013,0.92985,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,16446.2,0.80522,1.32952,0.74623,0.94365,0,0.74646,0.60377,0.64814,0.51972,0.71409,0.57193,0.60401,0.44471,0.72877,1.30909,0.94894,0.92833,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,16697.5,0.79874,1.31658,0.7405,0.93954,0,0.7502,0.60088,0.64959,0.52127,0.72037,0.57172,0.60604,0.44557,0.72605,1.30572,0.94756,0.92681,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,16945.9,0.79891,1.30803,0.73564,0.94135,0,0.74713,0.60303,0.65017,0.52223,0.71709,0.57446,0.60635,0.44705,0.72417,1.30009,0.94721,0.92553,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,17195.8,0.78938,1.29388,0.72884,0.9383,0,0.74523,0.60559,0.65054,0.52377,0.73072,0.56866,0.60868,0.44785,0.72168,1.29543,0.94757,0.92438,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,17445.7,0.7945,1.30259,0.72604,0.93708,0,0.74591,0.60759,0.65108,0.52426,0.72568,0.57366,0.60815,0.44566,0.72008,1.29197,0.948,0.92386,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,17723.3,0.79245,1.29924,0.72689,0.93602,0,0.74594,0.6095,0.65245,0.52561,0.71437,0.57875,0.61026,0.44709,0.71795,1.28914,0.94631,0.92296,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,17972.1,0.78511,1.28116,0.71239,0.93301,0,0.74517,0.61289,0.65381,0.52746,0.71279,0.58257,0.61252,0.44946,0.71649,1.28716,0.94317,0.92191,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,18220.9,0.78165,1.27702,0.71196,0.93398,0,0.7446,0.61381,0.65445,0.52839,0.71428,0.58379,0.61314,0.45017,0.71356,1.2849,0.93839,0.9199,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,18469.7,0.78215,1.27709,0.71193,0.93044,0,0.75338,0.61138,0.6557,0.53035,0.71963,0.58169,0.61359,0.45129,0.71168,1.28238,0.9367,0.91899,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,18719.5,0.77875,1.26724,0.70688,0.92891,0,0.75117,0.61204,0.65776,0.53235,0.71839,0.58192,0.61592,0.45232,0.71016,1.2803,0.93535,0.91799,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,18968.7,0.78037,1.27085,0.69828,0.92957,0,0.75261,0.61616,0.65879,0.53364,0.71707,0.58678,0.61739,0.45411,0.70867,1.27872,0.93453,0.91727,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,19217.8,0.77593,1.26249,0.70104,0.92864,0,0.73929,0.62497,0.65928,0.53472,0.70463,0.59557,0.61657,0.45481,0.70705,1.27673,0.93355,0.9162,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,19471.4,0.76853,1.25096,0.68783,0.92653,0,0.74046,0.62528,0.65911,0.53402,0.70512,0.59611,0.61658,0.45402,0.7055,1.27471,0.93181,0.91513,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,19725,0.76498,1.24589,0.68438,0.92384,0,0.74021,0.62555,0.66013,0.53503,0.70467,0.59528,0.61664,0.45478,0.70441,1.27264,0.93233,0.91459,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,19975.6,0.76484,1.24653,0.68331,0.92539,0,0.74441,0.62607,0.65886,0.53422,0.71273,0.59685,0.61648,0.45362,0.70337,1.26961,0.93247,0.91434,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,20225.6,0.76684,1.23832,0.67717,0.9244,0,0.74492,0.63049,0.65985,0.53546,0.71618,0.60185,0.61725,0.45487,0.70179,1.2676,0.93196,0.91349,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,20474,0.75977,1.23528,0.67723,0.92267,0,0.74408,0.631,0.66122,0.53624,0.71422,0.60268,0.61827,0.45551,0.70034,1.26544,0.93151,0.91273,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,20724,0.75266,1.22287,0.66985,0.92075,0,0.74792,0.6289,0.66117,0.53689,0.71708,0.60201,0.61864,0.45537,0.69942,1.2637,0.93073,0.9124,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,20972.3,0.74947,1.22096,0.66342,0.92041,0,0.74667,0.63119,0.66252,0.53801,0.71466,0.60348,0.61849,0.45521,0.69871,1.26241,0.93021,0.91195,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
