epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,12138.4,0.78608,1.35488,0.77274,0.9168,0.64336,0.54922,0.56299,0.4511,0.6475,0.52611,0.54096,0.4005,0.71978,1.32814,0.92603,0.89841,0.005446,0.005446,0.005446
48,12394,0.78053,1.3366,0.76645,0.91646,0.67405,0.53345,0.56083,0.45178,0.65634,0.52022,0.53979,0.40531,0.72121,1.32842,0.91485,0.90212,0.005347,0.005347,0.005347
49,12651.1,0.77615,1.3309,0.75821,0.91234,0.65517,0.5518,0.56156,0.45145,0.63802,0.5351,0.54046,0.40544,0.71218,1.31564,0.91695,0.89564,0.005248,0.005248,0.005248
50,12904.2,0.77237,1.32888,0.75681,0.91041,0.66753,0.54212,0.5677,0.45587,0.69284,0.50766,0.5424,0.41036,0.7111,1.30657,0.91272,0.89467,0.005149,0.005149,0.005149
51,13158.6,0.77052,1.31536,0.74907,0.91108,0.64906,0.57035,0.57406,0.463,0.62873,0.55264,0.54851,0.41494,0.71036,1.29148,0.91566,0.89471,0.00505,0.00505,0.00505
52,13410.2,0.7746,1.31324,0.7443,0.91294,0.65424,0.57773,0.57428,0.46224,0.63506,0.55982,0.54902,0.41532,0.70716,1.27927,0.90803,0.89274,0.004951,0.004951,0.004951
53,13664.2,0.77175,1.3298,0.7412,0.91154,0.69855,0.56428,0.5808,0.46561,0.68532,0.54288,0.55848,0.42089,0.70283,1.28283,0.90938,0.89137,0.004852,0.004852,0.004852
54,13917.6,0.76353,1.3072,0.7267,0.9059,0.72537,0.57307,0.59122,0.47787,0.70975,0.55196,0.56818,0.4281,0.69339,1.28236,0.89785,0.8883,0.004753,0.004753,0.004753
55,14171.4,0.75884,1.29944,0.71726,0.90527,0.72341,0.55611,0.5847,0.47522,0.70035,0.54273,0.56059,0.42138,0.6932,1.26668,0.8968,0.88789,0.004654,0.004654,0.004654
56,14426.1,0.75565,1.28415,0.71128,0.90477,0.71154,0.56067,0.58627,0.47035,0.70164,0.5427,0.56058,0.4237,0.68195,1.27656,0.89533,0.88251,0.004555,0.004555,0.004555
57,14682.3,0.75263,1.28475,0.70674,0.90204,0.67082,0.58816,0.59399,0.47899,0.65214,0.57244,0.57062,0.42817,0.68103,1.26803,0.90658,0.88249,0.004456,0.004456,0.004456
58,14939.1,0.74263,1.27146,0.69814,0.89901,0.68471,0.58639,0.59221,0.47667,0.6664,0.57295,0.57103,0.42696,0.67921,1.26711,0.90935,0.88216,0.004357,0.004357,0.004357
59,15192.2,0.74808,1.28574,0.70084,0.90225,0.72523,0.56354,0.59163,0.47691,0.70615,0.55257,0.57083,0.4276,0.6743,1.26499,0.89639,0.87951,0.004258,0.004258,0.004258
60,15446.7,0.73998,1.25869,0.6858,0.90056,0.71806,0.56283,0.58861,0.47473,0.70121,0.5454,0.56562,0.42823,0.67384,1.25655,0.90811,0.87995,0.004159,0.004159,0.004159
61,15701.4,0.73173,1.24318,0.68034,0.89868,0.70035,0.58151,0.59405,0.48185,0.69537,0.55539,0.57196,0.43082,0.67423,1.2563,0.89854,0.87949,0.00406,0.00406,0.00406
62,15957.1,0.73463,1.25653,0.67947,0.89593,0.71989,0.5864,0.60115,0.48787,0.72631,0.56281,0.57775,0.4371,0.67149,1.2452,0.89468,0.87849,0.003961,0.003961,0.003961
63,16211.5,0.73092,1.24703,0.67313,0.8965,0.72099,0.58715,0.59958,0.48989,0.70912,0.56846,0.57423,0.43552,0.66648,1.23581,0.89252,0.87755,0.003862,0.003862,0.003862
64,16469,0.71992,1.22628,0.66593,0.8933,0.71977,0.58043,0.60196,0.49252,0.70201,0.55972,0.57583,0.43696,0.65859,1.24236,0.89292,0.87488,0.003763,0.003763,0.003763
65,16722.9,0.72723,1.24152,0.66448,0.89251,0.72353,0.57445,0.59833,0.48995,0.73098,0.54693,0.57418,0.434,0.65472,1.23127,0.88852,0.87188,0.003664,0.003664,0.003664
66,16977.7,0.72352,1.22469,0.65428,0.89231,0.73656,0.57743,0.60252,0.48921,0.71821,0.55937,0.57786,0.43658,0.65118,1.22477,0.88852,0.86907,0.003565,0.003565,0.003565
67,17231.2,0.71757,1.22546,0.64889,0.89328,0.70814,0.60149,0.60592,0.49341,0.69526,0.57734,0.57906,0.43916,0.65017,1.22342,0.88832,0.86847,0.003466,0.003466,0.003466
68,17485,0.71441,1.2221,0.64647,0.88976,0.71357,0.59457,0.60854,0.49445,0.70535,0.56548,0.5807,0.43964,0.65208,1.22129,0.88865,0.87142,0.003367,0.003367,0.003367
69,17740.3,0.71821,1.21934,0.64753,0.8906,0.71344,0.5986,0.61142,0.49811,0.6895,0.57856,0.58317,0.44333,0.65195,1.21795,0.88698,0.87194,0.003268,0.003268,0.003268
70,17992.5,0.70786,1.21936,0.64359,0.89032,0.71637,0.60085,0.61392,0.49808,0.69342,0.57692,0.58314,0.44306,0.64944,1.21643,0.89573,0.87108,0.003169,0.003169,0.003169
71,18249.6,0.71018,1.19883,0.638,0.88668,0.72049,0.58467,0.61254,0.50053,0.71312,0.56032,0.58642,0.44434,0.64534,1.21439,0.89321,0.86841,0.00307,0.00307,0.00307
72,18509.1,0.70394,1.19595,0.63148,0.88603,0.72391,0.58917,0.61458,0.50371,0.74449,0.54875,0.58723,0.44443,0.64248,1.21249,0.88912,0.86637,0.002971,0.002971,0.002971
73,18766.6,0.69904,1.19044,0.62395,0.88546,0.72723,0.59064,0.61549,0.50261,0.71168,0.56252,0.58838,0.44544,0.64208,1.20748,0.89208,0.86548,0.002872,0.002872,0.002872
74,19023.5,0.69419,1.16783,0.6208,0.88324,0.7097,0.59884,0.61782,0.50469,0.7088,0.56407,0.58937,0.44466,0.64384,1.20174,0.88779,0.86691,0.002773,0.002773,0.002773
75,19280,0.68629,1.16292,0.606,0.88224,0.71557,0.59754,0.61892,0.50538,0.70711,0.56378,0.58854,0.4466,0.64349,1.2017,0.88676,0.86701,0.002674,0.002674,0.002674
76,19536.6,0.68732,1.16171,0.60716,0.88296,0.70953,0.60682,0.62015,0.50448,0.68087,0.58385,0.59088,0.44808,0.64196,1.1992,0.88926,0.86654,0.002575,0.002575,0.002575
77,19796.2,0.68548,1.15577,0.59976,0.88341,0.71855,0.60405,0.61875,0.50315,0.69241,0.57558,0.58854,0.44918,0.63977,1.19169,0.88982,0.86598,0.002476,0.002476,0.002476
78,20053.3,0.68186,1.14889,0.59498,0.87817,0.72301,0.60452,0.61962,0.50403,0.69818,0.57858,0.59027,0.44995,0.63653,1.18866,0.88798,0.8649,0.002377,0.002377,0.002377
79,20310,0.67829,1.15644,0.59518,0.88105,0.69749,0.60508,0.61957,0.50444,0.66055,0.58989,0.59125,0.45109,0.63228,1.18776,0.88455,0.86384,0.002278,0.002278,0.002278
80,20570.2,0.6847,1.16595,0.5923,0.88093,0.71131,0.59865,0.6191,0.50567,0.67882,0.57882,0.59096,0.45072,0.63024,1.18547,0.88295,0.86348,0.002179,0.002179,0.002179
81,20827.7,0.66973,1.135,0.58021,0.87685,0.71332,0.59729,0.62052,0.50744,0.67878,0.57672,0.59108,0.45199,0.62914,1.18872,0.88441,0.86282,0.00208,0.00208,0.00208
82,21088.7,0.67433,1.15788,0.58229,0.87779,0.70845,0.5999,0.61866,0.50539,0.68064,0.57532,0.59019,0.4506,0.6271,1.1869,0.88692,0.86148,0.001981,0.001981,0.001981
83,21349.7,0.67218,1.14207,0.58178,0.87547,0.71591,0.59666,0.61892,0.50529,0.68085,0.57516,0.59074,0.45041,0.62566,1.1841,0.89132,0.86096,0.001882,0.001882,0.001882
84,21606.6,0.66917,1.13661,0.57047,0.87471,0.71559,0.59676,0.61893,0.50537,0.68428,0.57749,0.5904,0.45026,0.62523,1.1805,0.89373,0.86064,0.001783,0.001783,0.001783
85,21863.3,0.66538,1.13953,0.56537,0.87279,0.72155,0.59451,0.61971,0.50601,0.69331,0.57309,0.59014,0.45001,0.62488,1.17619,0.89384,0.8604,0.001684,0.001684,0.001684
86,22119.9,0.65738,1.11374,0.55593,0.87307,0.71885,0.59554,0.61835,0.50593,0.69073,0.57601,0.59262,0.45063,0.62398,1.17466,0.89636,0.86018,0.001585,0.001585,0.001585
87,22381,0.66063,1.12305,0.56261,0.87488,0.71682,0.60275,0.61916,0.50645,0.69206,0.58402,0.59396,0.45064,0.62345,1.17248,0.89634,0.86041,0.001486,0.001486,0.001486
88,22644.2,0.6552,1.12394,0.55492,0.87277,0.71771,0.60811,0.61982,0.507,0.69127,0.5887,0.59406,0.45235,0.62262,1.16949,0.89759,0.86034,0.001387,0.001387,0.001387
89,22904.3,0.64865,1.09892,0.54505,0.87039,0.71412,0.60937,0.62011,0.50853,0.68691,0.59032,0.59427,0.45223,0.62135,1.16829,0.8989,0.86001,0.001288,0.001288,0.001288
